constructor,GP_name,constructor_home,const_relaiblity,active_const
McLaren,Autodromo Enzo e Dino Ferrari,0,0.9294990723562152,1
McLaren,Autodromo Internazionale del Mugello,0,0.9294990723562152,1
McLaren,Autodromo Nazionale di Monza,0,0.9294990723562152,1
McLaren,Autódromo Hermanos Rodríguez,0,0.9294990723562152,1
McLaren,Autódromo Internacional do Algarve,0,0.9294990723562152,1
McLaren,Autódromo José Carlos Pace,0,0.9294990723562152,1
McLaren,Bahrain International Circuit,0,0.9294990723562152,1
McLaren,Baku City Circuit,0,0.9294990723562152,1
McLaren,Buddh International Circuit,0,0.9294990723562152,1
McLaren,Circuit Gilles Villeneuve,0,0.9294990723562152,1
McLaren,Circuit Park Zandvoort,0,0.9294990723562152,1
McLaren,Circuit Paul Ricard,0,0.9294990723562152,1
McLaren,Circuit de Barcelona-Catalunya,0,0.9294990723562152,1
McLaren,Circuit de Monaco,0,0.9294990723562152,1
McLaren,Circuit de Spa-Francorchamps,0,0.9294990723562152,1
McLaren,Circuit of the Americas,0,0.9294990723562152,1
McLaren,Hockenheimring,0,0.9294990723562152,1
McLaren,Hungaroring,0,0.9294990723562152,1
McLaren,Istanbul Park,0,0.9294990723562152,1
McLaren,Jeddah Corniche Circuit,0,0.9294990723562152,1
McLaren,Korean International Circuit,0,0.9294990723562152,1
McLaren,Losail International Circuit,0,0.9294990723562152,1
McLaren,Marina Bay Street Circuit,0,0.9294990723562152,1
McLaren,Miami International Autodrome,0,0.9294990723562152,1
McLaren,Nürburgring,0,0.9294990723562152,1
McLaren,Red Bull Ring,0,0.9294990723562152,1
McLaren,Sepang International Circuit,0,0.9294990723562152,1
McLaren,Shanghai International Circuit,0,0.9294990723562152,1
McLaren,Silverstone Circuit,1,0.9294990723562152,1
McLaren,Sochi Autodrom,0,0.9294990723562152,1
McLaren,Suzuka Circuit,0,0.9294990723562152,1
McLaren,Valencia Street Circuit,0,0.9294990723562152,1
McLaren,Yas Marina Circuit,0,0.9294990723562152,1
Mercedes,Albert Park Grand Prix Circuit,0,0.953789279112754,1
Mercedes,Autodromo Enzo e Dino Ferrari,0,0.953789279112754,1
Mercedes,Autodromo Internazionale del Mugello,0,0.953789279112754,1
Mercedes,Autodromo Nazionale di Monza,0,0.953789279112754,1
Mercedes,Autódromo Hermanos Rodríguez,0,0.953789279112754,1
Mercedes,Autódromo Internacional do Algarve,0,0.953789279112754,1
Mercedes,Autódromo José Carlos Pace,0,0.953789279112754,1
Mercedes,Bahrain International Circuit,0,0.953789279112754,1
Mercedes,Baku City Circuit,0,0.953789279112754,1
Mercedes,Buddh International Circuit,0,0.953789279112754,1
Mercedes,Circuit Gilles Villeneuve,0,0.953789279112754,1
Mercedes,Circuit Park Zandvoort,0,0.953789279112754,1
Mercedes,Circuit Paul Ricard,0,0.953789279112754,1
Mercedes,Circuit de Barcelona-Catalunya,0,0.953789279112754,1
Mercedes,Circuit de Monaco,0,0.953789279112754,1
Mercedes,Circuit de Spa-Francorchamps,0,0.953789279112754,1
Mercedes,Circuit of the Americas,0,0.953789279112754,1
Mercedes,Hockenheimring,1,0.953789279112754,1
Mercedes,Hungaroring,0,0.953789279112754,1
Mercedes,Istanbul Park,0,0.953789279112754,1
Mercedes,Jeddah Corniche Circuit,0,0.953789279112754,1
Mercedes,Korean International Circuit,0,0.953789279112754,1
Mercedes,Losail International Circuit,0,0.953789279112754,1
Mercedes,Marina Bay Street Circuit,0,0.953789279112754,1
Mercedes,Miami International Autodrome,0,0.953789279112754,1
Mercedes,Nürburgring,1,0.953789279112754,1
Mercedes,Red Bull Ring,0,0.953789279112754,1
Mercedes,Sepang International Circuit,0,0.953789279112754,1
Mercedes,Shanghai International Circuit,0,0.953789279112754,1
Mercedes,Silverstone Circuit,0,0.953789279112754,1
Mercedes,Sochi Autodrom,0,0.953789279112754,1
Mercedes,Suzuka Circuit,0,0.953789279112754,1
Mercedes,Yas Marina Circuit,0,0.953789279112754,1
Red Bull,Albert Park Grand Prix Circuit,0,0.9462962962962964,1
Red Bull,Autodromo Enzo e Dino Ferrari,0,0.9462962962962964,1
